,strain,diet,BodyWeight_Wk8_[g],BodyWeight_Wk16_[g],BodyWeight_Wk28_[g],BodyWeight_Sacrifice_[g],BodyWeight_NIBP_[g],BodyWeight_preCLAMS_[g],FatMass_preCLAMS_[g],FatMass_preCLAMS_[%],LeanMass_preCLAMS_[g],LeanMass_preCLAMS_[%],BodyWeight_preWheel_[g],FatMass_preWheel_[g],FatMass_preWheel_[%],LeanMass_preWheel_[g],LeanMass_preWheel_[%],BodyWeight_postWheel_[g],FatMass_postWheel_[g],FatMass_postWheel_[%],LeanMass_postWheel_[g],LeanMass_postWheel_[%],BWGain_8-16Weeks_[g],BWGain_8-16Weeks_[%],BWGain_8-28Weeks_[g],BWGain_8-28Weeks_[%],BWLoss_AfterExercise_[%],FatMassLoss_AfterExercise_[%],DiastolicBP_NIBP_[mmHg],SystolicBP_NIBP_[mmHg],HeartRate_NIBP_[bpm],DayRER_CLAMS_[ratio],NightRER_CLAMS_[ratio],24hRER_CLAMS_[ratio],DayVO2_CLAMS_[mL/kg/hr],NightVO2_CLAMS_[mL/kg/hr],24hVO2_CLAMS_[mL/kg/hr],DayVCO2_CLAMS_[mL/kg/hr],NightVCO2_CLAMS_[mL/kg/hr],24hVCO2_CLAMS_[mL/kg/hr],NightXTot_CLAMS_[#/12hr],NightZTot_CLAMS_[#/12hr],FoodInTotal_CLAMS_[g],FoodInTotal_CLAMS_[kCal],WaterInTotal_CLAMS_[mL],VO2_LeanBWCor_Day,VO2_LeanBWCor_Night,Glucose0min_OGTT_[mg/dL],Glucose15min_OGTT_[mg/dL],Glucose30min_OGTT_[mg/dL],Glucose45min_OGTT_[mg/dL],Glucose60min_OGTT_[mg/dL],Glucose90min_OGTT_[mg/dL],Glucose120min_OGTT_[mg/dL],Glucose150min_OGTT_[mg/dL],Glucose180min_OGTT_[mg/dL],GlucoseAUC_OGTT_[AUC],InsulinAUC_OGTT_[AUC],Insulin0min_OGTT_[ng/mL],Insulin15min_OGTT_[ng/mL],Insulin30min_OGTT_[ng/mL],Fasted_Glucose_Insulin_[ratio],Glucose_Insulin_15m_OGTT[ratio],Glucose_Insulin_30m_OGTT[ratio],Glucose*Insulin_Fasted,OGTT_Homa_IR,OGTT_Homa_B,0H_ColdTest_[°C],1H_ColdTest_[°C],2H_ColdTest_[°C],3H_ColdTest_[°C],4H_ColdTest_[°C],5H_ColdTest_[°C],6H_ColdTest_[°C],Decrease_0-3H_[%],Decrease_0-6H_[%],Decrease_3-6H_[%],24hXYTot_TSE_[#/hr],DayXYTot_TSE_[#/hr],NightXYTot_TSE_[#/hr],24hZTot_TSE_[#/hr],DayZTot_TSE_[#/hr],NightZTot_TSE_[#/hr],FoodInTotal_TSE_[g],FoodInTotal_TSE_[kCal],BodyWeight_TSE,Dist_pre_[m],Dist_post_[m],Improvement_[meters],VO2Basal_pre,VO2Max_pre,RERBasal_pre,RERMax_pre,VO2Basal_post,VO2Max_post,RERBasal_post,RERMax_post,deltaVO2bas_Improve,deltaVO2m_Improve [mL/kg/min],DayRun_ActivityWheel_[km],NightRun_ActivityWheel_[km],24hRun_ActivityWheel_[km],Liver_[g],Heart_[g],scWAT_[g],perirenalWAT_[g],Kidney_[g],epididymalWAT_[g],Gastrocnemius_[g],Soleus_[g],Liver_[%],Heart_[%],scWAT_[%],perirenalWAT_[%],Kidney_[%],epididymalWAT_[%],Gastrocnemius_[%],Soleus_[%],Glucose_[mmol/L],Cholesterol_[mmol/L],HDL_[mmol/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,HDL_Norm[Z],LDL_[mmol/L],Triglycerides_[mmol/L],FFA_[mmol/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,FFA_Norm[Z],LacticAcid_[mmol/L],BloodProtein_[g/L],ALAT_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,ASAT_[U/L],ASAT_Norm[Z],LDH_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,LDH_Norm[Z],ALPL_[U/L],Amylase_[U/L],CreatineKinase_[U/L],Creatinine_[U/L]_KNOWN_BATCH_EFFECT_BY_COHORT_ORDER,Creatinine_Norm[Z],Iron_[umol/L],RBC.TotalRedBloodCells_[#*10^6/uL],%RBCm.MatureRBC_[%],#RBCm.MatureRBC_[#*10^9/L],HGB.Hemoglobin_[g/dL],HCT.Hematocrit_[%],MCV.MeanCorpuscularVolume_[fL/RBC],MCH.MeanCorpuscularHemoglobin_[pg/RBC],MCHC.MeanCorpuscularHemoglobinConcentration_[g/dL],CH.RedCellHemoglobinContent_[pg/RBC],RDW.RedCellDistributionWidth_[%],HDW.HemoglobinConcentrationDistributionWidth_[g/dL],%RETIC.ReticulocytePercent_[%],#RETIC.ReticulocyteCount_[#*10^9/L],MCVr.MeanCorpuscularVolumeofReticulocytes_[fL/RTC],MCHCr.MeanCorpuscularHemoglobinConcentrationofReticulocytes_[g/dL],CHr.RedCellHemoglobinContentofReticulocytes_[pg/RTC],%LRTC_PercentageofLowMatureReticulocytes_[%],#LRTC_CountofLowMatureReticulocytes_[#*10^9/L],%MRTC_PercentageofMediumMatureReticulocytes_[%],#MRTC_CountofMediumMatureReticulocytes_[#*10^9/L],%HRTC_PercentageofHighMatureReticulocytes_[%],#HRTC_CountofHighMatureReticulocytes_[#*10^9/L],PLT.Platelets_[#*10^3/µL],MPV.MeanPlateletVolume_[fL/PLT],PDW.PlateletDistributionWidth_[%],PCT.Plateletcrit_[%],MPC.MeanPlateletComponentConcentration_[g/dL],PCDW.PlateletComponentDistributionWidth_[g/dL],MPM.MeanPlateletMass_[pg/PLT],WBC.WhiteBloodCell_[#*10^3/µL],%NEUTR.Neutrophil_[%],%LYMPH.Lymphocyte_[%],%MONO.Monocyte_[%],%EOS.Eosinophil_[%],%BASO.Basophil_[%],%LUC.LargeUnknownCells_[%],#NEUTR.Neutrophil_[#*10^3/µL],#LYMPH.Lymphocyte_[#*10^3/µL],#MONO.Monocyte_[#*10^3/µL],#EOS.Eosinophil_[#*10^3/µL],#BASO.Basophil_[#*10^3/µL],#LUC.LargeUnknownCells_[#*10^3/µL]
0,BXD1,CD,23.770000000000003,27.9,30.62,28.326,27.34,27.875999999999998,3.182,11.364,23.566,84.584,29.422000000000004,3.5662,11.804116729631913,24.764000000000003,84.47025818717002,29.886000000000003,2.9866,9.84873797664929,25.99,87.09931058960872,4.127999999999999,17.27865348777228,6.847999999999999,28.688774689952453,-1.7713971706554923,11.19755136175176,89.2,115.4,653.75,0.8186,0.8384,0.834,2509.5199999999995,2782.4667999999997,2722.753,2253.677,2290.767,2273.053,,,,,0.568,2966.3931798113995,3287.606065263814,72.8,241.8,245.8,226.6,196.4,133.0,114.0,107.4,99.6,27771.0,16.66,0.164,0.724,0.6100000000000001,4442941.176470588,3456679.607103684,4116728.7239384567,11.974,0.5319407707616628,18.120000000000058,37.58,36.58,35.7,34.839999999999996,34.10000000000001,34.040000000000006,33.82000000000001,7.283800442803901,10.013388382083537,2.9399103275489544,4032.0,2460.0,5603.0,643.0,432.0,916.0,3.312,10.27,30.303999999999995,354.75,537.0,182.25,72.36,108.0,0.7856,0.8806,74.12,115.4,0.8278000000000001,0.9358000000000001,1.7600000000000022,7.4,0.213,2.076,2.2885999999999997,1.087,0.1527,0.27984,0.41256000000000004,0.49128000000000005,0.49466,0.26058000000000003,0.0123,3.8692589801756085,0.5447124977806339,0.9173,1.3654582727238052,1.7533044194911003,1.6563107653651294,0.9261693692168158,0.0434,8.900000000000002,2.9199999999999995,2.87,,0.156,0.578,0.8220000000000001,,2.42,54.220000000000006,49.0,87.0,,282.0,,127.6,1052.5,530.0,3.0,,22.674999999999997,10.66,97.4,88466.0,14.2,48.73,45.73,13.37,29.2,12.73,12.73,1.75,2.6,279.93,53.0,25.0,13.17,57.23,159.63,38.83,109.08,3.93,11.22,1070.67,7.37,56.53,0.39,191.67,75.9,1.19,4.03,4.6,92.93,0.8,0.97,0.07,0.67,0.19,3.75,0.03,0.04,0.0,0.03
1,BXD1,HFD,24.378,35.998,37.238,38.89,36.52,36.462,11.59,31.42,23.83,65.72,39.694,13.6786,34.03573606302757,24.868199999999998,63.07628468663985,34.239999999999995,7.598400000000001,22.03776012540945,25.5308,74.72289067782671,11.62,47.696398619400476,12.860000000000003,52.957994824406626,13.392706301850783,44.507125903538274,78.2,104.6,652.2,0.75218,0.7581399999999999,0.7548,2432.0,2743.6,2584.0,1829.0,2079.0,1951.0,20006.6,4980.4,,,0.472,3692.0504394811132,4163.397023712187,93.2,306.0,447.8,398.2,359.4,262.6,180.0,133.6,96.4,44798.0,33.72,0.354,1.56,1.024,2774609.195402299,2105853.2730556587,4828616.770226677,33.288,1.4787680330267385,6.279138223757391,37.22,36.44,35.92,35.8,35.60000000000001,34.32000000000001,35.32000000000001,3.82,5.106591521685857,1.3128556502959483,3366.0,2085.0,4648.0,272.0,115.0,429.0,2.017999999999998,10.31,40.934,138.4,377.6,239.2,65.636,80.4,0.7370499999999999,0.8379999999999999,80.8,107.4,0.7474000000000001,0.8058,15.164000000000001,27.0,0.337,1.144,1.4880000000000002,1.02814,0.15648,1.35112,1.0836,0.458,1.25,0.30379999999999996,0.017,2.645667182899248,0.40339006888065854,3.441,2.7582616490534058,1.1867414731120853,3.1714202137301886,0.7859084805271025,0.0441,13.920000000000002,3.2,3.214,,0.194,0.8460000000000001,0.8200000000000001,,3.04,52.339999999999996,24.2,45.0,,188.0,,70.2,1070.6,98.0,6.666666666666667,,25.525,9.99,97.43,84880.5,13.65,45.85,45.9,13.7,29.88,13.4,14.3,2.03,2.58,254.0,51.35,27.08,13.8,64.0,162.09,31.2,79.66,4.8,12.25,801.5,7.43,55.33,0.3,192.25,73.05,1.21,5.99,4.8,91.05,0.93,1.83,0.05,1.38,0.28,5.47,0.05,0.11,0.0,0.08
2,BXD100,CD,27.31,36.17,41.5,40.976,36.6,36.17667,8.77,21.83667,26.061,74.31667,39.1133,9.058,20.865,28.468,75.09,37.973,7.62,18.82,28.14,75.35,8.870000000000001,30.945328751165476,14.15,51.12389182812607,1.12,-3.8645861580306993,68.67,104.3,792.8,0.822,0.883,0.858,2545.0,2997.0,2854.0,2253.0,2710.0,2533.0,26982.0,8720.0,3.667,11.3677,1.793,3423.2272063059513,4045.0190732501414,121.0,362.0,439.0,404.0,355.33,243.33,196.66,157.66,144.333,47073.0,43.096,1.278333,1.679333,1.108667,1365371.266340942,7863431.831695631,5864939.180745918,148.40366666666668,6.595718518518519,8.962190980580965,37.93,38.03,36.63,36.47,36.13,35.3,35.63,3.9,6.055,2.29,4149.0,1981.0,6316.0,504.0,250.0,759.0,5.34,16.554,39.4,552.2,1016.9,464.7,93.19333333,117.0,0.818,0.955333333,93.39,117.3333333,0.8352,1.005,0.19667,0.333,0.3768666666666666,2.4440666666666666,2.8209666666666666,1.699,0.21366,1.089366,1.011033,0.426433,2.1469,0.32173,0.015766,4.1174486980573555,0.5289594272649146,2.4991720625303446,2.399,1.075,5.145,0.7986712617389339,0.0448,16.63333,4.6,2.053333,0.1315677894921022,0.1233333,1.466667,1.273333,-0.4986905761657983,2.6999999999999997,53.8,24.33333,33.66667,-0.6242908345367472,107.0,-0.5986390091108177,94.33334,1051.0,57.66667,29.0,0.6743544887706734,26.5,9.89,,,13.95,46.95,47.5,13.3,27.95,12.35,14.3,2.0,2.95,294.1,57.35,24.95,14.3,58.15,,35.8,,6.05,,899.0,4.45,65.75,0.385,295.5,66.95,1.225,5.135,10.85,84.25,2.05,2.2,0.15,0.8,0.525,4.355,0.105,0.11,0.01,0.07
3,BXD100,HFD,28.558,45.32,54.1,56.956,50.7,45.32,15.2578,33.368,28.7404,63.712,54.396,21.5514,40.01,30.913,56.44,49.05,16.5,32.91,30.186,62.412,16.762,58.65322534074331,25.53,89.21555285036882,10.260766848830475,23.781345617200202,59.7625,99.385,756.5,0.763,0.776,0.771,2709.0,3156.0,2983.0,2074.0,2468.0,2316.0,25550.0,9313.0,1.928,9.832799999999999,2.512,4201.7784851534325,4967.977449653374,163.0,352.4,378.4,381.4,348.6,292.6,233.4,176.6,155.4,49158.0,129.266,2.561,5.2104,4.2542,862587.6645916656,792508.368365248,1047440.8293268855,443.0125999999999,19.689448888888887,9.206130899964199,37.9,37.0,37.0,36.6,36.1,35.7,35.9,3.48,5.38,1.96,3302.0,2303.0,4302.0,246.0,151.0,342.0,3.685,18.7935,55.1,441.08,686.84,245.76,70.216,85.0,0.8098,0.9416,76.166,93.2,0.78218,0.917,5.95,8.2,0.16782,5.741580000000001,5.9094,3.10442,0.24656,2.34996,2.4956,0.52312,3.36356,0.3757,0.02086,5.396252416671814,0.4355591669635416,4.100458750225796,4.35,0.922,5.936,0.6642472756046771,0.0369,17.92,6.52,2.59,0.8813877579249698,0.334,1.324,1.224,-0.5731587204990765,3.7,50.22,52.4,52.4,-0.3934961616124385,200.8,-0.1312798369548199,68.0,1099.6,65.6,25.2,0.041254627548323514,24.22,9.55,,,12.7,45.5,47.65,13.3,27.95,12.350000000000001,14.3,1.97,3.4,321.9,59.15,24.55,14.4,53.05,,37.75,,9.15,,909.5,4.2,54.15,0.38,295.0,68.0,1.18,8.155,8.55,84.1,1.55,4.85,0.2,0.8,0.67,6.845,0.12,0.43,0.015,0.07
4,BXD101,CD,22.44,28.57,32.24,31.305,30.21,28.57,5.058,17.57,22.69,79.562,33.4,7.55,22.2,24.5,73.8,30.05,5.19,17.0,23.7,79.15,6.132500000000001,27.42913121714085,9.81,43.47665676743015,9.630268219256422,28.173528700877807,80.9,103.2,702.2,,,,2722.0,3333.0,3102.0,1571.0,2100.0,1898.0,39328.0,21202.0,1.792,5.5552,1.53,,,68.0,310.0,302.8,264.0,228.0,195.8,167.0,133.3,116.5,35419.0,20.633,0.337,0.895,0.622,2663374.9605845045,3710606.4870489305,5085736.177122721,22.79,1.0128888888888887,24.661090909090905,36.6,36.9,36.0,35.3,34.9,34.7,35.0,3.6,4.5,0.9,5817.0,3302.0,8332.0,790.0,245.0,1335.0,2.18,6.758000000000001,33.83,321.0,989.0,669.0,77.9,92.5,0.841,0.9593,91.03,114.5,0.8081,0.943,13.15,22.0,0.114,8.347,8.46,1.2991,0.17245,0.6965,0.393,0.38335,1.0395,0.2673,0.0141,4.151995276646671,0.5535684062392585,2.1957415251522368,1.24378,1.22933,3.28375,0.855258121761768,0.0451,17.4,3.48,3.303,-0.443988868845961,0.135,1.883,1.025,1.158928851812253,4.825,48.93,58.5,81.0,-0.3837535179692533,296.0,-0.3214454412901617,77.3,878.3,256.8,9.25,0.5202150071960616,26.05,11.37,97.45,91682.0,15.75,51.0,44.88,13.85,30.88,13.38,12.48,1.85,2.55,290.3,55.53,27.63,15.15,75.63,908.3,22.45,269.0,1.95,23.25,1228.5,4.5,44.5,0.28,256.0,74.73,1.06,9.08,7.98,86.58,3.25,1.45,0.05,0.7,0.72,7.88,0.29,0.13,0.01,0.07
5,BXD101,HFD,27.24,43.82,49.905,51.87,45.14,43.67,16.48,37.7,25.73,58.98,51.24,21.58,42.09,28.05,54.77,46.78,18.06,38.2,27.23,58.6,16.58,61.131640754999026,22.67,83.52251969718019,8.83339765570924,16.83,82.99,105.886,691.4,,,,2498.0,2942.0,2784.0,1643.0,1927.0,1826.0,45060.0,18179.0,1.35,6.885,1.335,,,94.0,213.0,260.0,300.0,253.0,196.0,171.0,151.0,151.0,35706.0,99.52,0.9775,4.375,3.535,964909.7054656915,507024.3256409942,746109.230493285,94.025,4.178888888888888,13.387806105700841,37.1,35.7,34.6,35.1,34.5,34.9,34.4,5.3,7.3,2.1,3666.0,2100.0,5233.0,290.0,127.0,453.0,,,52.24,245.0,790.8,546.0,57.5,67.0,0.7978,0.9573,72.21,82.75,0.7822,0.917,14.76,15.8,0.04,4.744,4.781,2.63445,0.19115,3.642,1.7655,0.5048,3.344,0.3243,0.0195,5.075,0.3696,7.002,3.395,0.9774,6.344,0.6265,0.0377,11.83,5.03,4.783,1.0965125257270887,0.348,0.83,0.715,-0.07596282407905636,2.275,52.73,279.5,281.0,1.9644151796139395,479.5,0.3308533015767415,79.75,919.75,55.8,16.3,0.27259980222709573,21.4,10.11,96.65,85242.0,14.45,48.05,47.53,14.28,30.08,13.8,13.35,2.0,3.35,336.3,60.7,25.2,15.1,57.1,841.3,37.8,554.3,5.1,73.5,997.0,6.56,46.73,0.33,209.75,68.9,1.23,9.37,9.15,83.53,3.68,1.33,0.15,2.18,0.85,7.85,0.35,0.12,0.01,0.21
6,BXD11,CD,23.688000000000002,29.5875,35.25,33.44,31.74,29.587500000000002,5.15,16.24,23.56,80.449,30.45,4.689,15.01238206159855,23.454,77.58765806817617,29.880000000000003,5.5125,18.189482157847614,23.736,79.61298257487721,6.2525,26.199115025349997,12.120000000000003,51.974387518456155,1.6364974418902523,-21.72169841010083,73.0,102.66666666666667,683.3333333333334,0.807,0.875,0.848,2961.596,3502.061,3283.841,2430.442,3115.844,2840.205,31512.5,5034.25,2.1887500000000024,6.785125000000008,,3644.101035208345,4329.245361378518,88.25,239.75,227.75,216.0,231.0,178.5,147.75,118.5,111.5,31127.0,11.442924999999999,0.06049,0.598030325,0.269054375,4628864.275086791,28504904.116425052,58803772.83276764,6.7748800000000005,0.300958502587752,0.44441632653061225,36.800000000000004,36.36666666666667,36.9,34.96666666666667,33.666666666666664,35.166666666666664,35.43333333333333,4.968557550524763,3.7353629976580742,-1.3218571720485388,3866.5,2582.6363636363635,4953.0,414.7291666666667,310.54545454545456,503.0,4.064999999999998,12.601499999999993,33.23666666666667,647.0,637.5,-9.5,100.78999999999999,128.5,0.8614999999999999,0.946,98.58500000000001,124.5,0.871,0.951,-2.2049999999999983,-4.0,0.03974115,1.0691270499999999,1.1099999999999999,1.18155,0.19324999999999998,0.5653,0.8553,0.4161,1.95615,0.267,,3.540334930895362,0.5868455012118734,1.654292196677234,2.4981247330413607,1.2531281097992109,5.673514441698046,0.8033413369968099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BXD11,HFD,24.685999999999996,46.748000000000005,57.1875,55.585,46.03000000000001,46.748000000000005,19.1584,39.82899460550356,27.72,60.47758279932206,49.148,19.589199999999998,39.535265900140665,29.375,60.08568405386624,52.251999999999995,22.345,42.69165365910876,29.832600000000003,57.15487700105111,22.062000000000005,89.67579007106738,32.6525,133.8063703935203,-6.704485545503547,-16.308152057213047,66.4,92.4,649.6,0.745,0.755,0.751,2677.0,3079.0,2933.0,1998.789,2328.828,2209.079,16465.167,1377.5,1.9889999999999985,10.143899999999991,2.23,4437.268280046128,5028.680994281942,78.2,241.2,305.2,329.4,314.2,253.0,192.0,165.4,150.8,41367.4,84.042,0.6104049999999999,4.082638000000001,2.4294887999999992,1371752.40184218,1011841.3421818217,1789546.401738756,51.080965,2.2692232496826454,10.64582181818182,37.58,36.17999999999999,36.239999999999995,36.06,35.54,35.540000000000006,35.760000000000005,4.026425431972652,4.830421327797636,0.8250862236486919,2938.6916666666666,1745.9333333333332,4131.0,433.275,134.5,732.0,,,48.958,302.4,321.2,18.8,77.38,91.0,0.8022,0.8960000000000001,96.35999999999999,109.4,0.7727999999999999,0.8992000000000001,18.98,18.4,0.00671988,0.27836859999999997,0.28508848000000003,1.96185,0.2137,3.53875,1.9566666666666663,0.56165,3.4175,0.33347499999999997,,3.5120538037028197,0.38530099837127674,6.339282356221481,3.389422507478834,1.0132332465627052,6.226147374340534,0.6016178716428157,,,,,,,,,,,,,,,,,,,,,,,10.475000000000001,96.725,84511.5,15.2,46.050000000000004,44.05,14.55,33.050000000000004,14.9,14.45,2.835,3.2750000000000004,337.0,54.55,27.6,14.975000000000001,53.175000000000004,178.70209999999997,39.55,133.7279,7.25,24.471600000000002,938.0,8.275,43.849999999999994,0.39,192.5,55.675,1.47,8.46,17.025,75.375,2.55,4.45,0.27499999999999997,0.325,1.45,6.35,0.21999999999999997,0.37500000000000006,0.02,0.030000000000000002
8,BXD12,CD,24.262,28.662,30.571999999999996,29.236,29.244,28.662,,,,,30.008,2.7441999999999998,9.11526088091701,26.667600000000004,88.90672270926731,30.48,2.8333999999999997,9.283731761484304,27.111400000000003,88.96365045205194,4.443999999999999,18.348168007631646,6.309999999999999,26.04230158886573,-1.5783726919535161,-4.914809053593774,84.0,109.6,667.4,0.8564,0.9232000000000001,0.895,3038.0407999999998,3583.989,3349.848,2613.962,3321.456,3018.146,24913.4,4179.6,3.3210000000000006,10.295100000000001,2.684,,,71.4,209.0,209.0,181.4,175.4,136.2,122.6,110.2,102.4,26904.0,16.107999999999997,0.0996,0.8917999999999999,0.2644,8465566.507844348,2389403.1048581377,9112585.896393906,6.868999999999998,0.3051545964056162,7.2319749216300915,36.620000000000005,37.72,36.019999999999996,35.7,35.919999999999995,36.239999999999995,35.019999999999996,2.510417919296745,4.361430917504293,1.8779249497652664,3548.0,1920.0,5176.0,365.0,150.0,579.0,3.4480000000000017,10.688800000000006,30.52,356.2,289.4,-66.8,75.0,116.8,0.8204,0.9667999999999999,88.18199999999999,105.2,0.8286,0.9503999999999999,13.181999999999999,-11.6,0.00578052,0.5321339600000001,0.5378000000000001,1.26386,0.16297999999999999,0.33555999999999997,0.1656,0.4692,0.6426,0.28378000000000003,,4.325340302739553,0.5576034764988946,1.1412772648584986,0.5572459992774219,1.6055010908682594,2.1739766445616864,0.9708704349845432,,13.360000000000003,3.0200000000000005,2.806,,0.15000000000000002,0.766,0.74,,4.3,59.17999999999999,36.6,59.2,,303.8,,105.8,1090.0,305.8,5.75,,25.2,9.059999999999999,97.125,76868.5,12.2,40.7,44.975,13.425,29.9,14.65,12.3,1.975,2.875,259.2,53.5,27.125,14.424999999999999,52.675,136.39710000000002,39.125,101.35534999999999,8.175,21.378699999999995,1302.5,5.6,43.575,0.36250000000000004,238.75,69.60000000000001,1.2225,4.695,7.800000000000001,83.85,1.5,4.65,0.1,2.0749999999999997,0.35000000000000003,3.9449999999999994,0.07500000000000001,0.21999999999999997,0.0,0.1
9,BXD12,HFD,22.305999999999997,27.698,34.368,32.864,28.926,27.698,3.7281999999999997,13.350947524022251,23.794999999999998,86.02266895213309,31.582,6.3616,19.761866877640173,25.014400000000002,79.56330085802529,31.332,5.8986,18.528138562656373,25.0262,80.13394316796004,5.392,24.248643888665573,12.062000000000001,54.13331849846172,0.6625494428027452,7.438361264789364,70.2,101.6,674.2,0.771,0.792,0.784,3643.0,4250.0,4027.0,2817.817,3380.134,3174.381,25931.8,3428.6,1.925,9.817499999999999,2.252,4230.769108374424,4935.098237030866,99.2,377.6,333.0,271.6,243.8,190.6,149.0,123.6,117.6,36622.6,25.488000000000003,0.14980000000000002,1.2534,0.7418,9333251.400200551,3618105.171276608,4748607.032345816,16.4284,0.7297948196329553,1.3123897364896933,38.14,37.28,37.42,36.739999999999995,36.52,36.44,36.44,3.657499143467158,4.443730477365826,0.7990294243393822,3449.2833333333338,2070.633333333333,4828.0,296.68333333333334,59.68333333333334,534.0,5.125,26.188750000000002,32.294,354.4,372.4,18.0,96.354,109.4,0.7727999999999999,0.8992000000000001,93.41,105.6,0.7736000000000001,0.917,-2.943999999999997,-3.8,0.00130062,0.59347982,0.5947804400000001,1.02132,0.15118,0.8866399999999999,0.5034,0.44880000000000003,1.19,0.29396,,3.082538418129926,0.4646171632612549,2.648000933134353,1.49376949896471,1.3782229246460378,3.556509185195813,0.9014165405664688,,,,,,,,,,,,,,,,,,,,,,,8.256,96.48000000000002,73977.2,13.080000000000002,35.839999999999996,43.3,16.000000000000004,37.0,15.680000000000001,14.239999999999998,2.9999999999999996,3.5200000000000005,293.6,56.14,28.679999999999996,16.020000000000003,51.54,150.58552,39.3,115.10896,9.16,27.905520000000003,1068.4,8.7,42.339999999999996,0.466,192.0,55.739999999999995,1.514,5.0600000000000005,11.68,80.28,1.36,6.24,0.22000000000000003,0.25999999999999995,0.592,4.064,0.07200000000000001,0.30399999999999994,0.008,0.016
