Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
39872,3.91350139374757e-11,8.544738483440284e-07,8.33262680743907e-07,8.332627167567327e-07,8.332627167567327e-07,8.087641980318728e-07,1.5628727200744433e-09,1.6517161314953267e-08,6.862352646035398e-10,7.29265443941854e-10,-0.34117560975609695
39873,0.0008152501255872565,0.9999999815357791,0.9999938697969196,1.0,0.5,0.5,0.0024983753864177205,0.026403985911792344,0.0010970012287985107,0.001165788366452858,-0.10986768292682925
39874,0.04109143499551891,1.0,1.0,1.0,0.5,0.5,0.06885336026882649,0.7276741375219797,0.030232534803391022,0.032128256958085764,0.0523274390243893
39875,0.11883958095524949,1.0,1.0,1.0,0.5,0.5,0.16536876236393996,1.0,0.07261108018609015,0.07716413649712262,-0.04496402439024383
39876,2.5330699467501277e-05,0.4248230216594312,0.3568649228011276,0.4413949134343455,0.44131144612280726,0.26219583231441257,0.00012530755120112046,0.0013243081222072172,5.5020770054279645e-05,5.847083117017933e-05,0.16126646341463236
39877,0.18854546777233805,1.0,1.0,1.0,0.5,0.5,0.2388568700910653,1.0,0.10487866692145474,0.11145505271678514,0.029221951219511766
39878,0.005599882198474756,1.0,1.0,1.0,0.5,0.5,0.012993288667627782,0.13731908054850414,0.005705168931782886,0.006062909862558028,0.08200487804878165
39879,0.27587815685479183,1.0,1.0,1.0,0.5,0.5,0.3220658306880745,1.0,0.14141454240205964,0.15028189946527007,-0.0246256097560984
39880,0.001353144585226949,0.9999999999998553,0.9999999954096302,1.0,0.5,0.5,0.0038526057195020593,0.04071611803992334,0.001691624577854092,0.0017976973967731476,0.12733414634146456
39881,1.7977689711422551e-06,0.038492124365421265,0.03322960786258167,0.03379422485574857,0.03379086558158983,0.026659116073068503,1.290416631455399e-05,0.0001363771943260497,5.666036569461808e-06,6.021323717029552e-06,0.1909487804878056
39882,0.22632569062158536,1.0,1.0,1.0,0.5,0.5,0.27642973768066037,1.0,0.12137638065148351,0.12898725070766784,-0.02748201219512314
40056,0.15268868634467286,1.0,1.0,1.0,0.5,0.5,0.2018063838499918,1.0,0.08861032343912574,0.09416660756715646,-0.03306280487804791
40057,0.04542364106156851,1.0,1.0,1.0,0.5,0.5,0.07491951161631072,0.7917840289292247,0.03289609589931166,0.034958835864876615,-0.045015853658537
40058,1.1239626905552727e-10,2.45405811927224e-06,2.3778536021312746e-06,2.377855468138735e-06,2.377855468138735e-06,2.294569832768589e-06,3.606127816627931e-09,3.8111225632466484e-08,1.5833996234318939e-09,1.6826862285874258e-09,0.26957256097560833
40059,0.4943472682973024,1.0,1.0,1.0,0.5,0.5,0.49611973906740653,1.0,0.21783914713012853,0.2314986864330676,-0.007142682926827959
40060,0.016579001135982756,1.0,1.0,1.0,0.5,0.5,0.032201350568247744,0.34031875728803773,0.014139156723357658,0.015025748364564133,0.07639329268292538
40061,0.25725610684309114,1.0,1.0,1.0,0.5,0.5,0.30534416672901277,1.0,0.13407229671297266,0.142479260431446,-0.015880487804878385
40062,0.11978190705850861,1.0,1.0,1.0,0.5,0.5,0.16644664214637936,1.0,0.07308436192439952,0.07766709522687712,-0.03805365853658671
40063,0.027878512142032692,1.0,1.0,1.0,0.5,0.5,0.049708085252720274,0.5253380216000714,0.021826115843080942,0.023194715982756346,-0.05281585365853658
40064,0.48116393432335686,1.0,1.0,1.0,0.5,0.5,0.48691788574684675,1.0,0.21379874373248237,0.2272049307351716,0.011435975609755289
40065,0.0008694166160994419,0.9999999943471115,0.9999970849158681,1.0,0.5,0.5,0.002638973609059402,0.027889892917615417,0.0011587359160049686,0.0012313941089648504,-0.12807865853658562
40066,0.3422969441732819,1.0,1.0,1.0,0.5,0.5,0.38024854027112415,1.0,0.1669617456984184,0.17743103258968826,-0.03556402439024353
40067,8.781585514270075e-11,1.9173697733965156e-06,1.8606408312971112e-06,1.8606423387635433e-06,1.8605545229084007e-06,1.7972392913505135e-06,2.953969716086409e-09,3.1218917377841155e-08,1.2970462429293946e-09,1.3783771440389186e-09,-0.28631219512195116
40069,0.2192851354689091,1.0,1.0,1.0,0.5,0.5,0.2694085128371955,1.0,0.11829346031740375,0.12571101676569907,0.022861585365854253
40070,0.004690672533969484,1.0,1.0,1.0,0.5,0.5,0.01117878590685299,0.11814257665206544,0.004908446482046332,0.005216229167211885,-0.06318658536585353
